region_code,region_code_type,region_code_level,parent_region_code,level_1_region_code,level_2_region_code,level_3_region_code,region_name,alt_name1,alt_name2,alt_name3,alt_name4,population_year,population
TCD,iso_3166-1,1,WORLD,TCD,None,None,Chad,Chad,,,,2020,16425859
CHL,iso_3166-1,1,WORLD,CHL,None,None,Chile,Chile,Chile,,Chile,2020,19116209
CHN,iso_3166-1,1,WORLD,CHN,None,None,China,China,,,,2020,1439323774
COL,iso_3166-1,1,WORLD,COL,None,None,Colombia,Colombia,Colombia,,Colombia,2020,50882884
COG,iso_3166-1,1,WORLD,COG,None,None,Congo,Congo,,,Republic of the Congo,2020,5518092
CRI,iso_3166-1,1,WORLD,CRI,None,None,Costa Rica,Costa Rica,,,Costa Rica,2020,5094114
CIV,iso_3166-1,1,WORLD,CIV,None,None,Cote d'Ivoire,Cote d'Ivoire,,,,2020,26378275
HRV,iso_3166-1,1,WORLD,HRV,None,None,Croatia,Croatia,,Croatia,Croatia,2020,4105268
CUB,iso_3166-1,1,WORLD,CUB,None,None,Cuba,Cuba,,,Cuba,2020,11326616
CUW,iso_3166-1,1,WORLD,CUW,None,None,Curacao,Curacao,,,,2020,164100
CYP,iso_3166-1,1,WORLD,CYP,None,None,Cyprus,Cyprus,,Cyprus,,2020,875899
CZE,iso_3166-1,1,WORLD,CZE,None,None,Czech Republic,Czech Republic,Czech Republic,Czechia,Czech Republic,2020,10708982
COD,iso_3166-1,1,WORLD,COD,None,None,Democratic Republic of Congo,Democratic Republic of Congo,,,,2020,89561404
DNK,iso_3166-1,1,WORLD,DNK,None,None,Denmark,Denmark,Denmark,Denmark,Denmark,2020,5792203
DJI,iso_3166-1,1,WORLD,DJI,None,None,Djibouti,Djibouti,,,,2020,988002
DMA,iso_3166-1,1,WORLD,DMA,None,None,Dominica,Dominica,,,,2020,71991
DOM,iso_3166-1,1,WORLD,DOM,None,None,Dominican Republic,Dominican Republic,,,,2020,10847904
ECU,iso_3166-1,1,WORLD,ECU,None,None,Ecuador,Ecuador,,,Ecuador,2020,17643060
EGY,iso_3166-1,1,WORLD,EGY,None,None,Egypt,Egypt,Egypt,,,2020,102334403
SLV,iso_3166-1,1,WORLD,SLV,None,None,El Salvador,El Salvador,,,El Salvador,2020,6486201
GNQ,iso_3166-1,1,WORLD,GNQ,None,None,Equatorial Guinea,Equatorial Guinea,,,,2020,1402985
ERI,iso_3166-1,1,WORLD,ERI,None,None,Eritrea,Eritrea,,,Eritrea,2020,3546427
EST,iso_3166-1,1,WORLD,EST,None,None,Estonia,Estonia,Estonia,Estonia,Estonia,2020,1326539
ETH,iso_3166-1,1,WORLD,ETH,None,None,Ethiopia,Ethiopia,,,,2020,114963583
FRO,iso_3166-1,1,WORLD,FRO,None,None,Faroe Islands,Faeroe Islands,,,,2020,48865
FLK,iso_3166-1,1,WORLD,FLK,None,None,Falkland Islands (Malvinas),Falkland Islands,,,,2020,3483
FJI,iso_3166-1,1,WORLD,FJI,None,None,Fiji,Fiji,,,Fiji,2020,896444
FIN,iso_3166-1,1,WORLD,FIN,None,None,Finland,Finland,Finland,Finland,Finland,2020,5540718
FRA,iso_3166-1,1,WORLD,FRA,None,None,France,France,France,France,France,2020,65273512
PYF,iso_3166-1,1,WORLD,PYF,None,None,French Polynesia,French Polynesia,,,,2020,280904
GAB,iso_3166-1,1,WORLD,GAB,None,None,Gabon,Gabon,,,,2020,2225728
GMB,iso_3166-1,1,WORLD,GMB,None,None,Gambia,Gambia,,,,2020,2416664
GEO,iso_3166-1,1,WORLD,GEO,None,None,Georgia,Georgia,,,Georgia,2020,3989175
DEU,iso_3166-1,1,WORLD,DEU,None,None,Germany,Germany,Germany,,Germany,2020,83783945
GHA,iso_3166-1,1,WORLD,GHA,None,None,Ghana,Ghana,,,Ghana,2020,31072945
GIB,iso_3166-1,1,WORLD,GIB,None,None,Gibraltar,Gibraltar,,,Gibraltar,2020,33691
GRC,iso_3166-1,1,WORLD,GRC,None,None,Greece,Greece,,Greece,Greece,2020,10423056
GRL,iso_3166-1,1,WORLD,GRL,None,None,Greenland,Greenland,,,,2020,56772
GRD,iso_3166-1,1,WORLD,GRD,None,None,Grenada,Grenada,,,,2020,112519
GUM,iso_3166-1,1,WORLD,GUM,None,None,Guam,Guam,,,,2020,168783
GTM,iso_3166-1,1,WORLD,GTM,None,None,Guatemala,Guatemala,,,,2020,17915567
GGY,iso_3166-1,1,WORLD,GGY,None,None,Guernsey,Guernsey,,,Guernsey,,
GIN,iso_3166-1,1,WORLD,GIN,None,None,Guinea,Guinea,,,,2020,13132792
GNB,iso_3166-1,1,WORLD,GNB,None,None,Guinea-Bissau,Guinea-Bissau,,,,2020,1967998
GUY,iso_3166-1,1,WORLD,GUY,None,None,Guyana,Guyana,,,,2020,786559
HTI,iso_3166-1,1,WORLD,HTI,None,None,Haiti,Haiti,,,,2020,11402533
HND,iso_3166-1,1,WORLD,HND,None,None,Honduras,Honduras,,,Honduras,2020,9904608
HUN,iso_3166-1,1,WORLD,HUN,None,None,Hungary,Hungary,Hungary,Hungary,Hungary,2020,9660350
ISL,iso_3166-1,1,WORLD,ISL,None,None,Iceland,Iceland,Iceland,Iceland,,2020,341250
IND,iso_3166-1,1,WORLD,IND,None,None,India,India,India,,India,2020,1380004385
IDN,iso_3166-1,1,WORLD,IDN,None,None,Indonesia,Indonesia,Indonesia,,Indonesia,2020,273523621
IRN,iso_3166-1,1,WORLD,IRN,None,None,Iran,Iran,,,Iran,2020,83992953
IRQ,iso_3166-1,1,WORLD,IRQ,None,None,Iraq,Iraq,,,Iraq,2020,40222503
IRL,iso_3166-1,1,WORLD,IRL,None,None,Ireland,Ireland,Ireland,Ireland,Ireland,2020,4937796
IMN,iso_3166-1,1,WORLD,IMN,None,None,Isle of Man,Isle of Man,,,,2020,85032
ISR,iso_3166-1,1,WORLD,ISR,None,None,Israel,Israel,Israel,,,2020,8655541
ITA,iso_3166-1,1,WORLD,ITA,None,None,Italy,Italy,Italy,,Italy,2020,60461828
JAM,iso_3166-1,1,WORLD,JAM,None,None,Jamaica,Jamaica,,,Jamaica,2020,2961161
JPN,iso_3166-1,1,WORLD,JPN,None,None,Japan,Japan,Japan,,,2020,126476458
JEY,iso_3166-1,1,WORLD,JEY,None,None,Jersey,Jersey,,,,2020,
JOR,iso_3166-1,1,WORLD,JOR,None,None,Jordan,Jordan,,,Jordan,2020,10203140
KAZ,iso_3166-1,1,WORLD,KAZ,None,None,Kazakhstan,Kazakhstan,,,,2020,18776707
KEN,iso_3166-1,1,WORLD,KEN,None,None,Kenya,Kenya,,,,2020,53771300
RKS,iso_3166-1,1,WORLD,RKS,None,None,Kosovo,Kosovo,,,,2020,1932774
KWT,iso_3166-1,1,WORLD,KWT,None,None,Kuwait,Kuwait,,,,2020,4270563
KGZ,iso_3166-1,1,WORLD,KGZ,None,None,Kyrgyzstan,Kyrgyzstan,,,,2020,6524191
LAO,iso_3166-1,1,WORLD,LAO,None,None,Laos,Laos,,,,2020,7275556
LVA,iso_3166-1,1,WORLD,LVA,None,None,Latvia,Latvia,Latvia,Latvia,,2020,1886202
LBN,iso_3166-1,1,WORLD,LBN,None,None,Lebanon,Lebanon,,,Lebanon,2020,6825442
LBR,iso_3166-1,1,WORLD,LBR,None,None,Liberia,Liberia,,,Liberia,2020,5057677
LBY,iso_3166-1,1,WORLD,LBY,None,None,Libya,Libya,,,Libya,2020,6871287
