region_name,region_type,parent_region_code,region_code,region_code_level,region_code_type,leaf_region_code,country_iso_3166-1_alpha-2,country_iso_3166-1_alpha-3,country_iso_3166-1_numeric,level_1_region_code,level_2_region_code,level_3_region_code,datacommons_name,datacommons_id,wikidata_id
Racine County,county,US-WI,US-WI-55101,3,fips_6-4,55101,US,USA,840,USA,US-WI,US-WI-55101,Racine County,geoId/55101,Q510122
Morovis Municipio,county,US-PR,US-PR-72101,3,fips_6-4,72101,US,USA,840,USA,US-PR,US-PR-72101,Morovis,geoId/72101,Q2623982
Oglala Lakota County,county,US-SD,US-SD-46102,3,fips_6-4,46102,US,USA,840,USA,US-SD,US-SD-46102,Oglala Lakota County,geoId/46102,Q495201
Morgan County,county,US-AL,US-AL-01103,3,fips_6-4,01103,US,USA,840,USA,US-AL,US-AL-01103,Morgan County,geoId/01103,Q137828
Ouachita County,county,US-AR,US-AR-05103,3,fips_6-4,05103,US,USA,840,USA,US-AR,US-AR-05103,Ouachita County,geoId/05103,Q61138
Tehama County,county,US-CA,US-CA-06103,3,fips_6-4,06103,US,USA,840,USA,US-CA,US-CA-06103,Tehama County,geoId/06103,Q109705
Rio Blanco County,county,US-CO,US-CO-08103,3,fips_6-4,08103,US,USA,840,USA,US-CO,US-CO-08103,Rio Blanco County,geoId/08103,Q492044
Pinellas County,county,US-FL,US-FL-12103,3,fips_6-4,12103,US,USA,840,USA,US-FL,US-FL-12103,Pinellas County,geoId/12103,Q494556
Effingham County,county,US-GA,US-GA-13103,3,fips_6-4,13103,US,USA,840,USA,US-GA,US-GA-13103,Effingham County,geoId/13103,Q156637
Lee County,county,US-IL,US-IL-17103,3,fips_6-4,17103,US,USA,840,USA,US-IL,US-IL-17103,Lee County,geoId/17103,Q491035
Miami County,county,US-IN,US-IN-18103,3,fips_6-4,18103,US,USA,840,USA,US-IN,US-IN-18103,Miami County,geoId/18103,Q304289
Johnson County,county,US-IA,US-IA-19103,3,fips_6-4,19103,US,USA,840,USA,US-IA,US-IA-19103,Johnson County,geoId/19103,Q485746
Leavenworth County,county,US-KS,US-KS-20103,3,fips_6-4,20103,US,USA,840,USA,US-KS,US-KS-20103,Leavenworth County,geoId/20103,Q379660
Henry County,county,US-KY,US-KY-21103,3,fips_6-4,21103,US,USA,840,USA,US-KY,US-KY-21103,Henry County,geoId/21103,Q500734
St. Tammany Parish,county,US-LA,US-LA-22103,3,fips_6-4,22103,US,USA,840,USA,US-LA,US-LA-22103,St. Tammany Parish,geoId/22103,Q506921
Marquette County,county,US-MI,US-MI-26103,3,fips_6-4,26103,US,USA,840,USA,US-MI,US-MI-26103,Marquette County,geoId/26103,Q498155
Nicollet County,county,US-MN,US-MN-27103,3,fips_6-4,27103,US,USA,840,USA,US-MN,US-MN-27103,Nicollet County,geoId/27103,Q490409
Noxubee County,county,US-MS,US-MS-28103,3,fips_6-4,28103,US,USA,840,USA,US-MS,US-MS-28103,Noxubee County,geoId/28103,Q490215
Knox County,county,US-MO,US-MO-29103,3,fips_6-4,29103,US,USA,840,USA,US-MO,US-MO-29103,Knox County,geoId/29103,Q490104
Treasure County,county,US-MT,US-MT-30103,3,fips_6-4,30103,US,USA,840,USA,US-MT,US-MT-30103,Treasure County,geoId/30103,Q496744
Keya Paha County,county,US-NE,US-NE-31103,3,fips_6-4,31103,US,USA,840,USA,US-NE,US-NE-31103,Keya Paha County,geoId/31103,Q489735
