region_code,region_code_level,region_type,region_code_type,region_name,local_variant,local_language_name,alt_name_1,local_numeric_code,local_alpha_code,alt_name_2,alt_name_3,alt_name_4
BR-MG,2,state,iso_3166-2,Minas Gerais,,,,,,,,
BR-MS,2,state,iso_3166-2,Mato Grosso do Sul,,,,,,,,
BR-MT,2,state,iso_3166-2,Mato Grosso,,,,,,,,
BR-PA,2,state,iso_3166-2,Pará,,,,,,,,
BR-PB,2,state,iso_3166-2,Paraíba,,,,,,,,
BR-PE,2,state,iso_3166-2,Pernambuco,,,,,,,,
BR-PI,2,state,iso_3166-2,Piauí,,,,,,,,
BR-PR,2,state,iso_3166-2,Paraná,,,,,,,,
BR-RJ,2,state,iso_3166-2,Rio de Janeiro,,,,,,,,
BR-RN,2,state,iso_3166-2,Rio Grande do Norte,,,,,,,,
BR-RO,2,state,iso_3166-2,Rondônia,,,,,,,,
BR-RR,2,state,iso_3166-2,Roraima,,,,,,,,
BR-RS,2,state,iso_3166-2,Rio Grande do Sul,,,,,,,,
BR-SC,2,state,iso_3166-2,Santa Catarina,,,,,,,,
BR-SE,2,state,iso_3166-2,Sergipe,,,,,,,,
BR-SP,2,state,iso_3166-2,São Paulo,,,,,,,,
BR-TO,2,state,iso_3166-2,Tocantins,,,,,,,,
BS-AK,2,district,iso_3166-2,Acklins,,,,,,,,
BS-BI,2,district,iso_3166-2,Bimini,,,,,,,,
BS-BP,2,district,iso_3166-2,Black Point,,,,,,,,
BS-BY,2,district,iso_3166-2,Berry Islands,,,,,,,,
BS-CE,2,district,iso_3166-2,Central Eleuthera,,,,,,,,
BS-CI,2,district,iso_3166-2,Cat Island,,,,,,,,
BS-CK,2,district,iso_3166-2,Crooked Island and Long Cay,,,,,,,,
BS-CO,2,district,iso_3166-2,Central Abaco,,,,,,,,
BS-CS,2,district,iso_3166-2,Central Andros,,,,,,,,
BS-EG,2,district,iso_3166-2,East Grand Bahama,,,,,,,,
BS-EX,2,district,iso_3166-2,Exuma,,,,,,,,
BS-FP,2,district,iso_3166-2,City of Freeport,,,,,,,,
BS-GC,2,district,iso_3166-2,Grand Cay,,,,,,,,
BS-HI,2,district,iso_3166-2,Harbour Island,,,,,,,,
BS-HT,2,district,iso_3166-2,Hope Town,,,,,,,,
BS-IN,2,district,iso_3166-2,Inagua,,,,,,,,
BS-LI,2,district,iso_3166-2,Long Island,,,,,,,,
BS-MC,2,district,iso_3166-2,Mangrove Cay,,,,,,,,
BS-MG,2,district,iso_3166-2,Mayaguana,,,,,,,,
BS-MI,2,district,iso_3166-2,Moore's Island,,,,,,,,
BS-NE,2,district,iso_3166-2,North Eleuthera,,,,,,,,
BS-NO,2,district,iso_3166-2,North Abaco,,,,,,,,
BS-NP,2,island,iso_3166-2,New Providence,,,,,,,,
BS-NS,2,district,iso_3166-2,North Andros,,,,,,,,
BS-RC,2,district,iso_3166-2,Rum Cay,,,,,,,,
BS-RI,2,district,iso_3166-2,Ragged Island,,,,,,,,
BS-SA,2,district,iso_3166-2,South Andros,,,,,,,,
BS-SE,2,district,iso_3166-2,South Eleuthera,,,,,,,,
BS-SO,2,district,iso_3166-2,South Abaco,,,,,,,,
BS-SS,2,district,iso_3166-2,San Salvador,,,,,,,,
BS-SW,2,district,iso_3166-2,Spanish Wells,,,,,,,,
BS-WG,2,district,iso_3166-2,West Grand Bahama,,,,,,,,
BT-11,2,district,iso_3166-2,Paro,,སྤ་རོ་,,,,,,
BT-12,2,district,iso_3166-2,Chhukha,,ཆུ་ཁ་,,,,,,
BT-13,2,district,iso_3166-2,Haa,,ཧཱ་,,,,,,
BT-14,2,district,iso_3166-2,Samtse,,བསམ་རྩེ་,,,,,,
BT-15,2,district,iso_3166-2,Thimphu,,ཐིམ་ཕུ་,,,,,,
BT-21,2,district,iso_3166-2,Tsirang,,རྩི་རང་,,,,,,
BT-22,2,district,iso_3166-2,Dagana,,དར་དཀར་ན་,,,,,,
BT-23,2,district,iso_3166-2,Punakha,,སྤུ་ན་ཁ་,,,,,,
BT-24,2,district,iso_3166-2,Wangdue Phodrang,,དབང་འདུས་ཕོ་བྲང་,,,,,,
BT-31,2,district,iso_3166-2,Sarpang,,གསར་སྤང་,,,,,,
BT-32,2,district,iso_3166-2,Trongsa,,ཀྲོང་གསར་,,,,,,
BT-33,2,district,iso_3166-2,Bumthang,,བུམ་ཐང་,,,,,,
BT-34,2,district,iso_3166-2,Zhemgang,,གཞམས་སྒང་,,,,,,
BT-41,2,district,iso_3166-2,Trashigang,,བཀྲ་ཤིས་སྒང་,,,,,,
BT-42,2,district,iso_3166-2,Monggar,,མོང་སྒར་,,,,,,
BT-43,2,district,iso_3166-2,Pemagatshel,,པད་མ་དགའ་ཚལ་,,,,,,
BT-44,2,district,iso_3166-2,Lhuentse,,ལྷུན་རྩེ་,,,,,,
BT-45,2,district,iso_3166-2,Samdrup Jongkhar,,བསམ་གྲུབ་ལྗོངས་མཁར,,,,,,
BT-GA,2,district,iso_3166-2,Gasa,,མགར་ས་,,,,,,
BT-TY,2,district,iso_3166-2,Trashi Yangtse,,བཀྲ་ཤིས་གྱང་ཙེ་,,,,,,
BW-CE,2,district,iso_3166-2,Central,,,,,,,,
BW-CH,2,district,iso_3166-2,Chobe,,,,,,,,
BW-FR,2,city,iso_3166-2,Francistown,,,,,,,,
BW-GA,2,city,iso_3166-2,Gaborone,,,,,,,,
BW-GH,2,district,iso_3166-2,Ghanzi,,,,,,,,
BW-JW,2,town,iso_3166-2,Jwaneng,,,,,,,,
BW-KG,2,district,iso_3166-2,Kgalagadi,,,,,,,,
BW-KL,2,district,iso_3166-2,Kgatleng,,,,,,,,
BW-KW,2,district,iso_3166-2,Kweneng,,,,,,,,
BW-LO,2,town,iso_3166-2,Lobatse,,,,,,,,
BW-NE,2,district,iso_3166-2,North East,,,,,,,,
BW-NW,2,district,iso_3166-2,North West,,,,,,,,
BW-SE,2,district,iso_3166-2,South East,,,,,,,,
BW-SO,2,district,iso_3166-2,Southern,,,,,,,,
BW-SP,2,town,iso_3166-2,Selibe Phikwe,,,,,,,,
BW-ST,2,town,iso_3166-2,Sowa Town,,,,,,,,
BY-BR,2,oblast,iso_3166-2,Brestskaya voblasts',Bresckaja voblasć,Brestskaya oblast',Brest Region,,,,,
BY-HM,2,city,iso_3166-2,Horad Minsk,Horad Minsk,Gorod Minsk,City of Minsk,,,,,
BY-HO,2,oblast,iso_3166-2,Homyel'skaya voblasts',Homieĺskaja voblasć,Gomel'skaya oblast',Gomel Region,,,,,
BY-HR,2,oblast,iso_3166-2,Hrodzenskaya voblasts',Hrodzienskaja voblasć,Grodnenskaya oblast',Grodno Region,,,,,
BY-MA,2,oblast,iso_3166-2,Mahilyowskaya voblasts',Mahilioŭskaja voblasć,Mogilevskaya oblast',Mogilev Region,,,,,
BY-MI,2,oblast,iso_3166-2,Minskaya voblasts',Minskaja voblasć,Minskaya oblast',Minsk Region,,,,,
